work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,Senior,Full-time,Data Lead,150000.0,USD,150000.0,US,0,US,Medium
2024,Senior,Full-time,Machine Learning Engineer,165500.0,USD,165500.0,US,100,US,Medium
2024,Entry,Full-time,Business Intelligence Developer,75600.0,USD,75600.0,US,0,US,Medium
2024,Mid,Full-time,Data Scientist,110000.0,USD,110000.0,US,0,US,Medium
2025,Entry,Full-time,Data Analyst,137000.0,USD,137000.0,US,0,US,Medium
2025,Executive,Full-time,Engineer,334600.0,USD,334600.0,US,0,US,Medium
2023,Senior,Full-time,Machine Learning Engineer,198200.0,USD,198200.0,US,100,US,Medium
2025,Entry,Full-time,Analyst,95000.0,USD,95000.0,US,0,US,Medium
2025,Entry,Full-time,Research Scientist,410000.0,USD,410000.0,US,0,US,Medium
2025,Mid,Full-time,Manager,72480.0,GBP,91746.0,GB,0,GB,Medium
2023,Senior,Full-time,Research Engineer,240000.0,USD,240000.0,US,0,US,Medium
2022,Senior,Full-time,Data Analyst,130000.0,USD,130000.0,US,0,US,Medium
2025,Mid,Full-time,Business Intelligence Engineer,165600.0,USD,165600.0,US,0,US,Large
2025,Senior,Full-time,Manager,128400.0,USD,128400.0,US,0,US,Medium
2024,Senior,Full-time,Product Designer,176000.0,USD,176000.0,US,100,US,Medium
2025,Senior,Full-time,Business Intelligence Engineer,121400.0,USD,121400.0,US,0,US,Medium
2025,Senior,Full-time,Data Engineer,177800.0,USD,177800.0,US,100,US,Medium
2025,Mid,Full-time,Manager,160000.0,USD,160000.0,US,0,US,Medium
2025,Mid,Full-time,MLOps Engineer,198000.0,USD,198000.0,CA,0,CA,Medium
2024,Senior,Full-time,Data Engineer,90000.0,USD,90000.0,US,0,US,Medium
2025,Senior,Full-time,Manager,179360.0,USD,179360.0,US,0,US,Medium
2025,Entry,Full-time,Software Engineer,50000.0,USD,50000.0,US,0,US,Medium
2025,Mid,Full-time,Machine Learning Scientist,62000.0,GBP,78481.0,GB,0,GB,Medium
2024,Senior,Full-time,Machine Learning Engineer,280000.0,USD,280000.0,US,100,US,Medium
2024,Mid,Full-time,Applied Scientist,222200.0,USD,222200.0,US,0,US,Large
2024,Entry,Full-time,Data Scientist,208800.0,USD,208800.0,US,0,US,Medium
2025,Senior,Full-time,Analyst,205340.0,USD,205340.0,US,0,US,Medium
2025,Senior,Full-time,Data Engineer,100000.0,GBP,126582.0,GB,0,GB,Medium
2024,Mid,Full-time,Research Scientist,238280.0,USD,238280.0,US,0,US,Medium
2024,Senior,Full-time,Engineer,135000.0,USD,135000.0,US,0,US,Medium
2025,Mid,Full-time,Data Engineer,108300.0,USD,108300.0,US,0,US,Medium
2025,Senior,Full-time,Applied Scientist,300000.0,USD,300000.0,US,0,US,Medium
2024,Senior,Full-time,Software Engineer,321000.0,USD,321000.0,US,0,US,Medium
2025,Senior,Full-time,Data Engineer,181000.0,USD,181000.0,US,0,US,Medium
2025,Mid,Full-time,Software Developer,120275.0,USD,120275.0,US,0,US,Medium
2025,Senior,Full-time,Security Researcher,253000.0,USD,253000.0,CA,0,CA,Medium
2025,Mid,Full-time,Data Engineer,65000.0,EUR,68421.0,NL,0,NL,Medium
2025,Executive,Full-time,Data Scientist,154000.0,CAD,110000.0,CA,0,CA,Medium
2024,Entry,Full-time,Machine Learning Engineer,145000.0,USD,145000.0,US,0,US,Medium
2024,Senior,Full-time,Data Scientist,304496.0,USD,304496.0,US,100,US,Medium
2025,Senior,Full-time,Manager,153000.0,USD,153000.0,US,0,US,Medium
2025,Senior,Full-time,Engineer,204000.0,USD,204000.0,US,0,US,Medium
2024,Mid,Full-time,Software Developer,61200.0,USD,61200.0,US,0,US,Medium
2024,Senior,Full-time,Data Engineer,117200.0,USD,117200.0,US,0,US,Medium
2024,Entry,Full-time,Data Analyst,228000.0,USD,228000.0,US,0,US,Medium
2025,Mid,Full-time,Researcher,257300.0,USD,257300.0,US,0,US,Medium
2024,Entry,Full-time,Data Operations Analyst,90000.0,USD,90000.0,US,0,US,Medium
2024,Senior,Full-time,Analyst,64000.0,USD,64000.0,US,0,US,Medium
2025,Executive,Full-time,Director,344500.0,USD,344500.0,US,0,US,Medium
2023,Mid,Full-time,Data Scientist,100000.0,USD,100000.0,US,100,US,Medium
2025,Senior,Full-time,Data Scientist,174000.0,USD,174000.0,US,0,US,Medium
2024,Mid,Full-time,Manager,92300.0,USD,92300.0,US,0,US,Medium
2024,Senior,Full-time,Data Engineer,161800.0,USD,161800.0,US,0,US,Medium
2024,Senior,Full-time,Engineer,170700.0,USD,170700.0,US,0,US,Medium
2024,Senior,Full-time,Product Manager,234300.0,USD,234300.0,US,0,US,Medium
2025,Entry,Full-time,Data Analyst,67500.0,USD,67500.0,US,0,US,Medium
2024,Mid,Full-time,Software Engineer,252000.0,USD,252000.0,US,0,US,Medium
2025,Entry,Full-time,Engineer,107100.0,USD,107100.0,US,0,US,Medium
2023,Senior,Full-time,Data Scientist,185000.0,USD,185000.0,US,0,US,Medium
2024,Mid,Full-time,Data Scientist,96400.0,USD,96400.0,US,0,US,Medium
2025,Senior,Full-time,Product Manager,223300.0,USD,223300.0,US,0,US,Medium
2023,Senior,Full-time,Machine Learning Engineer,250500.0,USD,250500.0,US,0,US,Medium
2024,Senior,Full-time,Software Engineer,274000.0,USD,274000.0,US,100,US,Medium
2024,Senior,Full-time,Software Engineer,192500.0,USD,192500.0,US,0,US,Medium
2025,Mid,Full-time,Analyst,52000.0,USD,52000.0,US,0,US,Medium
2025,Senior,Full-time,Data Scientist,128500.0,USD,128500.0,US,0,US,Medium
2025,Senior,Full-time,Engineering Manager,238000.0,USD,238000.0,US,0,US,Medium
2024,Senior,Full-time,Data Engineer,173000.0,USD,173000.0,US,0,US,Medium
2025,Senior,Full-time,Engineer,203500.0,USD,203500.0,US,0,US,Medium
2024,Entry,Full-time,Product Manager,124000.0,USD,124000.0,US,0,US,Medium
2023,Senior,Full-time,Research Scientist,165500.0,USD,165500.0,US,100,US,Medium
2025,Senior,Full-time,Research Scientist,240240.0,USD,240240.0,US,0,US,Medium
2024,Senior,Full-time,Data Scientist,178000.0,USD,178000.0,US,0,US,Medium
2024,Senior,Full-time,Research Scientist,200200.0,USD,200200.0,US,0,US,Medium
2023,Senior,Full-time,Data Engineer,129000.0,USD,129000.0,US,0,US,Medium
2025,Senior,Full-time,Manager,346200.0,USD,346200.0,US,0,US,Medium
2024,Senior,Full-time,Software Engineer,145000.0,USD,145000.0,US,0,US,Medium
2025,Entry,Full-time,Sales Development Representative,70000.0,USD,70000.0,US,0,US,Medium
2025,Executive,Full-time,Director,100291.0,USD,100291.0,GB,0,GB,Medium
2024,Senior,Full-time,Machine Learning Engineer,304000.0,USD,304000.0,US,0,US,Medium
2025,Senior,Full-time,Data Engineer,253000.0,USD,253000.0,US,0,US,Medium
2024,Senior,Full-time,Research Engineer,250200.0,USD,250200.0,US,0,US,Medium
2025,Entry,Full-time,Systems Engineer,190000.0,USD,190000.0,US,0,US,Medium
2025,Executive,Full-time,Director,70000.0,USD,70000.0,US,0,US,Medium
2025,Mid,Full-time,Manager,203200.0,USD,203200.0,US,100,US,Medium
2024,Mid,Full-time,Research Scientist,138000.0,USD,138000.0,US,0,US,Medium
2025,Senior,Full-time,Data Analyst,119000.0,USD,119000.0,US,0,US,Medium
2025,Senior,Full-time,Consultant,130000.0,USD,130000.0,US,0,US,Medium
2025,Mid,Full-time,Manager,143000.0,USD,143000.0,US,100,US,Medium
2025,Senior,Full-time,Data Engineer,131450.0,USD,131450.0,US,100,US,Medium
2025,Mid,Full-time,Software Engineer,60000.0,GBP,75949.0,GB,0,GB,Medium
2023,Senior,Full-time,AI Developer,230000.0,USD,230000.0,US,0,US,Medium
2024,Senior,Full-time,Data Scientist,130000.0,USD,130000.0,US,100,US,Medium
2024,Mid,Full-time,Software Engineer,225396.0,USD,225396.0,US,0,US,Medium
2025,Senior,Full-time,Data Manager,180000.0,USD,180000.0,US,100,US,Medium
2024,Senior,Full-time,Engineer,162500.0,CAD,125000.0,CA,100,CA,Medium
2025,Senior,Full-time,Manager,138810.0,USD,138810.0,US,0,US,Medium
2025,Senior,Full-time,Data Scientist,340000.0,USD,340000.0,US,0,US,Medium
2025,Mid,Full-time,Software Engineer,168000.0,USD,168000.0,US,0,US,Medium
2024,Mid,Full-time,Data Scientist,103300.0,USD,103300.0,US,100,US,Medium
2025,Entry,Full-time,Analyst,74893.0,USD,74893.0,US,0,US,Medium
2025,Entry,Full-time,Machine Learning Engineer,36278.0,GBP,45921.0,GB,0,GB,Medium
2025,Mid,Full-time,Manager,87850.0,USD,87850.0,US,0,US,Medium
2025,Senior,Full-time,Data Analyst,136925.0,USD,136925.0,US,100,US,Medium
2025,Senior,Full-time,Data Analyst,75000.0,EUR,78947.0,DE,0,DE,Medium
2024,Senior,Full-time,Analyst,130000.0,USD,130000.0,US,0,US,Medium
2025,Senior,Full-time,Data Engineer,160000.0,USD,160000.0,US,0,US,Medium
2024,Senior,Full-time,Data Scientist,97335.0,USD,97335.0,US,0,US,Medium
2025,Senior,Full-time,Manager,142600.0,USD,142600.0,US,0,US,Medium
2025,Senior,Full-time,Backend Engineer,120000.0,GBP,151898.0,GB,100,GB,Medium
2024,Mid,Full-time,Machine Learning Engineer,250600.0,USD,250600.0,US,0,US,Medium
2025,Mid,Full-time,Engineer,186000.0,USD,186000.0,US,0,US,Medium
2024,Senior,Full-time,Data Analyst,150600.0,USD,150600.0,US,0,US,Medium
2025,Senior,Full-time,Data Architect,252000.0,USD,252000.0,US,0,US,Medium
2025,Senior,Full-time,Engineer,185600.0,USD,185600.0,US,100,US,Medium
2024,Senior,Full-time,Engineer,160000.0,USD,160000.0,US,0,US,Medium
2024,Entry,Full-time,Data Analyst,84100.0,USD,84100.0,US,0,US,Medium
2023,Senior,Full-time,Data Analyst,140000.0,USD,140000.0,US,100,US,Medium
2025,Senior,Full-time,Machine Learning Engineer,160000.0,USD,160000.0,GB,0,GB,Medium
2025,Senior,Full-time,Product Manager,163000.0,USD,163000.0,US,0,US,Medium
2025,Senior,Full-time,Consultant,105100.0,USD,105100.0,US,0,US,Medium
2025,Senior,Full-time,AI Scientist,450000.0,USD,450000.0,US,0,US,Medium
2024,Senior,Full-time,Data Analyst,145000.0,USD,145000.0,US,100,US,Medium
2024,Mid,Full-time,Data Scientist,173000.0,USD,173000.0,US,0,US,Medium
2025,Mid,Full-time,Software Engineer,258000.0,USD,258000.0,US,0,US,Medium
2025,Entry,Full-time,Analyst,126990.0,USD,126990.0,US,100,US,Medium
2025,Senior,Full-time,Applied Scientist,294000.0,USD,294000.0,US,0,US,Medium
2025,Mid,Full-time,Associate,119267.0,USD,119267.0,US,0,US,Medium
2024,Senior,Full-time,AI Engineer,96600.0,USD,96600.0,US,0,US,Medium
2023,Senior,Full-time,Data Scientist,100000.0,USD,100000.0,US,0,US,Medium
2024,Senior,Full-time,Software Engineer,118450.0,USD,118450.0,US,0,US,Medium
2024,Mid,Full-time,Data Analyst,98000.0,EUR,108888.0,IE,0,IE,Medium
2025,Mid,Full-time,Software Development Engineer,129300.0,USD,129300.0,US,0,US,Large
2024,Senior,Full-time,Applied Scientist,110000.0,USD,110000.0,US,100,US,Medium
2025,Mid,Full-time,AI Engineer,225000.0,USD,225000.0,US,0,US,Medium
2024,Entry,Part-time,Data Engineer,93000.0,USD,93000.0,US,0,US,Medium
2024,Mid,Full-time,Research Engineer,150000.0,USD,150000.0,US,0,US,Medium
2025,Entry,Full-time,Data Analyst,72100.0,USD,72100.0,GB,0,GB,Medium
2025,Senior,Full-time,Analyst,140000.0,USD,140000.0,US,0,US,Medium
2023,Executive,Full-time,Data Scientist,185000.0,USD,185000.0,US,0,US,Medium
2025,Senior,Full-time,Data Engineer,117000.0,USD,117000.0,US,0,US,Medium
2025,Senior,Full-time,Consultant,68000.0,USD,68000.0,US,100,US,Medium
2025,Senior,Full-time,Manager,35000.0,GBP,44303.0,GB,0,GB,Medium
2025,Senior,Full-time,Product Manager,168000.0,USD,168000.0,US,0,US,Medium
2025,Senior,Full-time,Manager,148000.0,USD,148000.0,US,0,US,Medium
2024,Senior,Full-time,Analyst,170760.0,USD,170760.0,US,0,US,Medium
2025,Executive,Full-time,Data Governance,248000.0,USD,248000.0,US,0,US,Medium
2025,Senior,Full-time,Data Engineer,138940.0,USD,138940.0,CA,0,CA,Medium
2025,Senior,Full-time,Product Owner,92000.0,USD,92000.0,US,0,US,Medium
2024,Mid,Full-time,Data Engineer,96000.0,USD,96000.0,US,0,US,Large
2025,Senior,Full-time,Data Governance Lead,119000.0,USD,119000.0,CA,0,CA,Medium
2025,Mid,Full-time,Data Analyst,104800.0,USD,104800.0,US,0,US,Medium
2025,Senior,Full-time,Data Analyst,47508.0,EUR,50008.0,LT,0,LT,Medium
2024,Entry,Full-time,Machine Learning Engineer,110000.0,USD,110000.0,US,0,US,Medium
2025,Senior,Full-time,Software Engineer,325500.0,USD,325500.0,US,0,US,Medium
2024,Senior,Full-time,Analyst,158945.0,USD,158945.0,US,0,US,Medium
2025,Senior,Full-time,Research Scientist,147000.0,USD,147000.0,US,0,US,Medium
2025,Mid,Full-time,Researcher,89920.0,CAD,64228.0,CA,0,CA,Medium
2024,Senior,Full-time,Statistician,150000.0,USD,150000.0,US,0,US,Medium
2025,Senior,Full-time,Architect,440000.0,USD,440000.0,US,0,US,Medium
2024,Senior,Full-time,Data Engineer,235000.0,USD,235000.0,US,0,US,Medium
2024,Mid,Full-time,Systems Engineer,150000.0,USD,150000.0,US,0,US,Medium
2024,Senior,Full-time,Bioinformatics Scientist,78000.0,USD,78000.0,US,0,US,Medium
2024,Senior,Full-time,Data Analytics Lead,170760.0,USD,170760.0,US,0,US,Medium
2024,Entry,Full-time,Analyst,82500.0,USD,82500.0,US,100,US,Medium
2024,Senior,Full-time,Data Analyst,70000.0,USD,70000.0,CA,0,CA,Medium
2024,Senior,Full-time,Power BI Consultant,100000.0,USD,100000.0,US,0,US,Medium
2024,Senior,Full-time,Software Developer,223500.0,USD,223500.0,US,0,US,Medium
2025,Mid,Full-time,Data Engineer,96000.0,USD,96000.0,US,0,US,Large
2024,Senior,Full-time,Analytics Engineer,243000.0,USD,243000.0,US,0,US,Medium
2024,Senior,Full-time,Research Scientist,150000.0,USD,150000.0,US,0,US,Medium
2025,Senior,Full-time,Consultant,93861.0,USD,93861.0,US,0,US,Medium
2024,Senior,Full-time,Machine Learning Engineer,191100.0,USD,191100.0,US,0,US,Medium
2023,Entry,Full-time,AI Developer,120000.0,USD,120000.0,BA,50,BA,Small
2025,Entry,Full-time,Engineer,180000.0,USD,180000.0,US,0,US,Medium
2025,Senior,Full-time,Data Scientist,106000.0,USD,106000.0,US,100,US,Medium
2025,Mid,Full-time,Associate,245985.0,USD,245985.0,US,100,US,Medium
2025,Senior,Full-time,Data Engineer,90000.0,USD,90000.0,US,0,US,Medium
2024,Mid,Full-time,Data Engineer,95000.0,USD,95000.0,US,100,US,Medium
2025,Senior,Full-time,Software Engineer,180000.0,CAD,128571.0,CA,0,CA,Medium
2025,Senior,Full-time,Engineer,130000.0,USD,130000.0,US,0,US,Medium
2025,Mid,Full-time,Developer,120000.0,USD,120000.0,US,0,US,Medium
2023,Senior,Full-time,Data Visualization Specialist,83900.0,USD,83900.0,US,0,US,Medium
2025,Entry,Full-time,Data Specialist,50300.0,USD,50300.0,US,0,US,Medium
2024,Senior,Full-time,Machine Learning Engineer,264500.0,USD,264500.0,US,100,US,Medium
2024,Senior,Full-time,Data Engineer,170000.0,USD,170000.0,US,0,US,Medium
2025,Mid,Full-time,Data Scientist,64000.0,USD,64000.0,US,100,US,Medium
2025,Senior,Full-time,Applied Scientist,150400.0,USD,150400.0,US,0,US,Large
2025,Mid,Full-time,Data Manager,45272.0,GBP,57306.0,GB,0,GB,Medium
2024,Senior,Full-time,Data Analyst,150000.0,USD,150000.0,US,0,US,Medium
2025,Entry,Full-time,Data Specialist,36249.0,USD,36249.0,US,0,US,Medium
2025,Mid,Full-time,Data Engineer,45000.0,EUR,47368.0,FR,0,FR,Medium
2023,Mid,Full-time,Machine Learning Engineer,212000.0,USD,212000.0,US,0,US,Medium
2025,Entry,Full-time,Machine Learning Engineer,133000.0,USD,133000.0,US,100,US,Medium
2025,Senior,Full-time,Engineer,154000.0,USD,154000.0,US,0,US,Medium
2024,Senior,Full-time,Data Scientist,410000.0,USD,410000.0,US,100,US,Medium
2024,Senior,Full-time,AI Architect,188700.0,USD,188700.0,US,0,US,Medium
2023,Senior,Full-time,Applied Scientist,136000.0,USD,136000.0,US,0,US,Large
2025,Mid,Full-time,Associate,129950.0,USD,129950.0,US,0,US,Medium
2024,Mid,Full-time,Product Manager,170300.0,USD,170300.0,US,0,US,Medium
2025,Senior,Full-time,Software Engineer,210000.0,USD,210000.0,US,0,US,Medium
2024,Senior,Full-time,Data Analyst,106400.0,USD,106400.0,US,0,US,Medium
2024,Mid,Full-time,Data Engineer,144000.0,USD,144000.0,US,0,US,Large
2025,Mid,Full-time,AI Engineer,141000.0,USD,141000.0,US,0,US,Medium
2024,Senior,Full-time,Software Engineer,125000.0,USD,125000.0,US,0,US,Medium
2025,Mid,Full-time,Data Scientist,158200.0,USD,158200.0,US,0,US,Medium
2025,Senior,Full-time,Data Engineer,140000.0,USD,140000.0,US,0,US,Medium
2023,Executive,Full-time,Data Engineer,145000.0,USD,145000.0,US,0,US,Medium
2025,Mid,Full-time,Applied Scientist,223400.0,USD,223400.0,US,0,US,Large
2024,Mid,Full-time,Research Scientist,115000.0,USD,115000.0,US,0,US,Medium
2025,Mid,Full-time,Associate,160000.0,USD,160000.0,US,0,US,Medium
2024,Senior,Full-time,Data Analyst,114200.0,USD,114200.0,US,0,US,Medium
2024,Senior,Full-time,Software Engineer,189000.0,USD,189000.0,US,0,US,Medium
2025,Entry,Full-time,Data Management Analyst,61100.0,USD,61100.0,CA,0,CA,Medium
2025,Senior,Full-time,Engineer,125000.0,USD,125000.0,US,0,US,Medium
2025,Senior,Full-time,AI Engineer,191000.0,USD,191000.0,US,0,US,Medium
2024,Senior,Full-time,Product Manager,259600.0,USD,259600.0,US,0,US,Medium
2025,Senior,Full-time,Solutions Architect,300800.0,USD,300800.0,US,0,US,Medium
2025,Senior,Full-time,Software Engineer,207000.0,USD,207000.0,US,0,US,Medium
2025,Mid,Full-time,Analytics Engineer,148000.0,USD,148000.0,US,0,US,Medium
2024,Mid,Full-time,Associate,145000.0,USD,145000.0,US,0,US,Medium
2025,Mid,Full-time,Data Scientist,120275.0,USD,120275.0,US,0,US,Medium
2024,Senior,Full-time,Software Development Engineer,278800.0,USD,278800.0,US,0,US,Medium
2024,Entry,Full-time,Data Scientist,97525.0,USD,97525.0,US,0,US,Medium
2025,Executive,Full-time,Data Governance,220000.0,USD,220000.0,US,0,US,Medium
2024,Mid,Full-time,Data Scientist,212500.0,USD,212500.0,US,0,US,Medium
2024,Senior,Full-time,Computer Vision Engineer,74500.0,GBP,93125.0,GB,0,GB,Medium
2024,Senior,Full-time,Software Engineer,190000.0,USD,190000.0,US,0,US,Medium
2025,Senior,Full-time,Software Engineer,175000.0,USD,175000.0,US,100,US,Medium
2025,Mid,Full-time,Associate,141600.0,USD,141600.0,US,100,US,Medium
2024,Senior,Full-time,Business Intelligence,144300.0,USD,144300.0,US,100,US,Medium
2024,Senior,Full-time,Data Scientist,139000.0,USD,139000.0,US,0,US,Medium
2024,Senior,Full-time,Architect,285200.0,USD,285200.0,US,0,US,Medium
2024,Senior,Full-time,Product Manager,167000.0,USD,167000.0,US,0,US,Medium
2025,Mid,Full-time,Research Engineer,460000.0,USD,460000.0,US,0,US,Medium
2024,Senior,Full-time,Data Engineer,120000.0,USD,120000.0,US,100,US,Medium
2024,Senior,Full-time,Data Engineer,136852.0,USD,136852.0,US,0,US,Medium
2025,Senior,Full-time,Machine Learning Scientist,180000.0,USD,180000.0,US,0,US,Medium
2024,Entry,Full-time,Data Analyst,140000.0,USD,140000.0,US,0,US,Medium
2025,Mid,Full-time,Machine Learning Engineer,122400.0,USD,122400.0,CA,0,CA,Medium
2025,Senior,Full-time,Engineer,118000.0,USD,118000.0,US,100,US,Medium
2024,Mid,Full-time,Software Developer,61600.0,USD,61600.0,US,100,US,Medium
2025,Mid,Full-time,Data Engineer,94700.0,USD,94700.0,CA,0,CA,Medium
2025,Senior,Full-time,Analyst,167000.0,USD,167000.0,US,100,US,Medium
2023,Senior,Full-time,Data Scientist,277000.0,USD,277000.0,US,0,US,Medium
2025,Entry,Full-time,Data Analyst,27852.0,EUR,29317.0,AT,0,AT,Medium
2025,Senior,Full-time,Data Scientist,180000.0,EUR,189473.0,DE,100,DE,Medium
2024,Executive,Full-time,Engineer,203800.0,USD,203800.0,US,0,US,Medium
2025,Mid,Full-time,Data Engineer,90900.0,EUR,95684.0,NL,0,NL,Medium
2024,Mid,Full-time,Data Engineer,146100.0,USD,146100.0,US,0,US,Medium
2023,Senior,Full-time,Data Engineer,52500.0,USD,52500.0,US,0,US,Medium
2025,Senior,Full-time,Manager,211000.0,USD,211000.0,US,0,US,Medium
2024,Senior,Full-time,Machine Learning Engineer,266000.0,USD,266000.0,US,0,US,Medium
2024,Mid,Full-time,Product Manager,136500.0,USD,136500.0,US,0,US,Medium
2025,Mid,Full-time,Data Analyst,87000.0,USD,87000.0,US,0,US,Medium
2025,Senior,Full-time,Data Architect,218657.0,USD,218657.0,US,100,US,Medium
2023,Mid,Full-time,Data Analyst,50000.0,GBP,61520.0,GB,0,GB,Medium
2024,Mid,Full-time,Analytics Engineer,153000.0,USD,153000.0,CA,0,CA,Medium
2025,Entry,Full-time,Data Analyst,97776.0,USD,97776.0,US,0,US,Medium
2024,Senior,Full-time,Data Scientist,288000.0,PLN,72000.0,PL,0,PL,Medium
2023,Senior,Full-time,Machine Learning Engineer,230000.0,USD,230000.0,US,0,US,Medium
2024,Mid,Full-time,Data Analyst,95000.0,USD,95000.0,US,0,US,Medium
2025,Mid,Full-time,Software Engineer,138225.0,USD,138225.0,US,0,US,Medium
2025,Senior,Full-time,Machine Learning Engineer,142000.0,USD,142000.0,US,0,US,Medium
2025,Entry,Full-time,Business Analyst,68000.0,USD,68000.0,US,0,US,Medium
2025,Senior,Full-time,Software Engineer,350763.0,USD,350763.0,US,0,US,Medium
2024,Mid,Full-time,Data Analyst,100000.0,USD,100000.0,US,0,US,Medium
2025,Senior,Full-time,Data Scientist,223400.0,USD,223400.0,US,0,US,Medium
2024,Senior,Full-time,Manager,154305.0,USD,154305.0,US,0,US,Medium
2024,Mid,Full-time,Product Manager,98300.0,USD,98300.0,US,0,US,Medium
2024,Senior,Full-time,Data Analyst,145620.0,USD,145620.0,US,0,US,Medium
2024,Mid,Full-time,Software Engineer,184200.0,USD,184200.0,US,0,US,Medium
2025,Entry,Full-time,Data Analyst,32000.0,GBP,40506.0,GB,0,GB,Medium
2025,Mid,Full-time,AI Engineer,440000.0,USD,440000.0,US,0,US,Medium
2025,Senior,Full-time,Data Management Specialist,100000.0,USD,100000.0,US,0,US,Medium
2025,Entry,Full-time,Data Engineer,52824.0,EUR,55604.0,NL,0,NL,Medium
2024,Mid,Full-time,Data Manager,81400.0,USD,81400.0,US,0,US,Medium
2025,Executive,Full-time,Data Engineer,146650.0,GBP,185632.0,GB,0,GB,Medium
2023,Mid,Full-time,Machine Learning Engineer,175000.0,USD,175000.0,US,0,US,Medium
2025,Senior,Full-time,Business Intelligence Engineer,159523.0,USD,159523.0,US,100,US,Medium
2025,Mid,Full-time,Associate,88500.0,USD,88500.0,US,0,US,Medium
2025,Mid,Full-time,AI Engineer,181600.0,USD,181600.0,US,100,US,Medium
2024,Mid,Full-time,Data Engineer,199600.0,USD,199600.0,US,0,US,Medium
2024,Mid,Full-time,Data Scientist,209720.0,USD,209720.0,US,0,US,Medium
2025,Senior,Full-time,Computational Biologist,160500.0,USD,160500.0,US,0,US,Medium
2024,Mid,Full-time,Associate,47874.0,GBP,59842.0,GB,0,GB,Medium
2025,Senior,Full-time,Manager,117200.0,USD,117200.0,US,0,US,Medium
2025,Senior,Full-time,Machine Learning Engineer,170000.0,USD,170000.0,US,100,US,Medium
2025,Senior,Full-time,Data Scientist,181250.0,USD,181250.0,US,0,US,Medium
2025,Mid,Full-time,Data Engineer,151600.0,USD,151600.0,US,0,US,Medium
2025,Senior,Full-time,Engineer,140000.0,USD,140000.0,US,0,US,Medium
2025,Senior,Full-time,AI Architect,338500.0,USD,338500.0,US,0,US,Medium
2025,Mid,Full-time,Data Engineer,150200.0,USD,150200.0,US,0,US,Medium
2024,Senior,Full-time,Software Engineer,250000.0,USD,250000.0,US,0,US,Medium
